Time (s),Shaft Speed (degrees/s)
0.006589651107788086,0.0
0.05918574333190918,0.0
0.11115431785583496,0.0
0.1662147045135498,1.0
0.21932601928710938,0.0
0.27123475074768066,0.0
0.32463860511779785,0.0
0.3770873546600342,1.0
0.430164098739624,0.0
0.48387765884399414,0.0
0.5364663600921631,-1.0
0.5892400741577148,-1.0
0.6419634819030762,0.0
0.6950957775115967,0.0
0.7480905055999756,0.0
0.8016128540039062,0.0
0.854384183883667,0.0
0.9071211814880371,1.0
0.9606184959411621,2.0
1.0138781070709229,2.0
1.0667850971221924,2.0
1.1183724403381348,0.0
1.1704447269439697,2.0
1.223280429840088,1.0
1.276564121246338,1.0
1.3293449878692627,0.0
1.380821704864502,1.0
1.4326369762420654,9.0
1.485072135925293,5.0
1.5379574298858643,4.0
1.5913410186767578,4.0
1.644071340560913,10.0
1.697373390197754,9.0
1.7504997253417969,2.0
1.803375005722046,3.0
1.8570599555969238,18.0
1.909757137298584,12.0
1.964477777481079,9.0
2.0163283348083496,5.0
2.069749116897583,2.0
2.121303081512451,3.0
2.174802541732788,0.0
2.2265889644622803,0.0
2.2816286087036133,0.0
2.335146903991699,0.0
2.3891005516052246,0.0
2.4418606758117676,0.0
2.4965507984161377,2.0
2.5497190952301025,3.0
2.6030197143554688,3.0
2.6560277938842773,0.0
2.7085447311401367,3.0
2.760899543762207,3.0
2.8143069744110107,4.0
2.86734938621521,1.0
2.9200661182403564,0.0
2.973402261734009,1.0
3.0262601375579834,0.0
3.0799050331115723,1.0
3.133991241455078,0.0
3.1866867542266846,0.0
3.2395498752593994,0.0
3.2920339107513428,0.0
3.3466007709503174,0.0
3.4005448818206787,0.0
3.45307993888855,0.0
3.506002426147461,0.0
3.558518409729004,1.0
3.6110286712646484,1.0
3.6642909049987793,0.0
3.7175076007843018,0.0
3.770704984664917,4.0
3.824819564819336,4.0
3.8766958713531494,3.0
3.93053936958313,4.0
3.9840989112854004,8.0
4.036957740783691,7.0
4.090356111526489,6.0
4.143296003341675,4.0
4.198117971420288,3.0
4.252106666564941,2.0
4.3050572872161865,2.0
4.358291149139404,1.0
4.41105318069458,2.0
4.465041399002075,4.0
4.518749237060547,5.0
4.5715553760528564,4.0
4.624983072280884,5.0
4.677764892578125,4.0
4.730903625488281,3.0
4.783989667892456,3.0
4.836748838424683,5.0
4.890239953994751,3.0
4.941992282867432,2.0
4.994507789611816,1.0
5.047454118728638,5.0
5.1007373332977295,5.0
5.153076887130737,3.0
5.205994129180908,3.0
5.258557081222534,5.0
5.311010837554932,4.0
5.364089250564575,2.0
5.417318105697632,1.0
5.468621730804443,6.0
5.5204949378967285,6.0
5.57369589805603,2.0
5.626430988311768,1.0
5.680116653442383,1.0
5.733245849609375,4.0
5.786609888076782,3.0
5.83931827545166,2.0
5.892179250717163,2.0
5.94415545463562,2.0
5.9976184368133545,0.0
6.050577878952026,1.0
6.103561878204346,2.0
