Time (s) ,raw_cg (m)
-5.4266884326934814,0.33640891313552856
-5.36456561088562,0.33673134446144104
-5.302744150161743,0.3374088406562805
-5.240948438644409,0.33781489729881287
-5.1785805225372314,0.33848652243614197
-5.116518497467041,0.33868086338043213
-5.0536580085754395,0.3392460346221924
-4.991333723068237,0.3397825360298157
-4.929372787475586,0.3398643434047699
-4.868036270141602,0.3399997055530548
-4.790496110916138,0.3400447964668274
-4.727965831756592,0.34044116735458374
-4.664666175842285,0.34042346477508545
-4.601822137832642,0.34032848477363586
-4.54005765914917,0.3390396535396576
-4.4771459102630615,0.338350385427475
-4.415246248245239,0.33770057559013367
-4.352273464202881,0.33801522850990295
-4.289666175842285,0.3381604552268982
-4.227005243301392,0.3385709524154663
-4.163296222686768,0.336902916431427
-4.100189924240112,0.33537259697914124
-4.036902904510498,0.33408844470977783
-3.9749462604522705,0.33415377140045166
-3.9134836196899414,0.33538874983787537
-3.8513808250427246,0.3358321785926819
-3.788681983947754,0.3359299600124359
-3.726727247238159,0.3325234055519104
-3.6656830310821533,0.3316592872142792
-3.6032748222351074,0.3307851552963257
-3.5405073165893555,0.33072131872177124
-3.477884292602539,0.3329693377017975
-3.4317007064819336,0.3328412175178528
-3.354125738143921,0.3310699760913849
-3.2915191650390625,0.33023443818092346
-3.2295281887054443,0.3312561810016632
-3.152388334274292,0.33142712712287903
-3.0902469158172607,0.32965749502182007
-3.0442471504211426,0.3287198841571808
-2.9813995361328125,0.3285703957080841
-2.918759346008301,0.32923203706741333
-2.841468334197998,0.3313640058040619
-2.7787058353424072,0.3333534598350525
-2.717346429824829,0.33340582251548767
-2.64047908782959,0.33217382431030273
-2.5791175365448,0.3341993987560272
-2.517496347427368,0.3334398865699768
-2.456066608428955,0.3339097499847412
-2.3794682025909424,0.3341520428657532
-2.331120014190674,0.3352017104625702
-2.253988742828369,0.33467766642570496
-2.1917426586151123,0.335025817155838
-2.1434860229492188,0.3351803421974182
-2.064795970916748,0.3343779146671295
-2.001516580581665,0.3342745304107666
-1.955759048461914,0.33366817235946655
-1.877624273300171,0.3339524567127228
-1.8143541812896729,0.3337770998477936
-1.752500057220459,0.3337925970554352
-1.6909334659576416,0.3332584798336029
-1.6144487857818604,0.33308011293411255
-1.5522477626800537,0.3327409029006958
-1.4893875122070312,0.33271709084510803
-1.4269754886627197,0.3338382840156555
-1.363832712173462,0.33345767855644226
-1.3018293380737305,0.3338050842285156
-1.2388947010040283,0.3339497148990631
