Time (s),Shaft Speed (degrees/s)
0.006589651107788086,0.0
0.05918574333190918,0.0
0.11115431785583496,1.0
0.1662147045135498,1.0
0.21932601928710938,0.0
0.27123475074768066,0.0
0.32463860511779785,0.0
0.3770873546600342,1.0
0.430164098739624,0.0
0.48387765884399414,0.0
0.5364663600921631,-2.0
0.5892400741577148,-2.0
0.6419634819030762,-1.0
0.6950957775115967,0.0
0.7480905055999756,0.0
0.8016128540039062,0.0
0.854384183883667,0.0
0.9071211814880371,1.0
0.9606184959411621,5.0
1.0138781070709229,4.0
1.0667850971221924,3.0
1.1183724403381348,0.0
1.1704447269439697,4.0
1.223280429840088,2.0
1.276564121246338,3.0
1.3293449878692627,2.0
1.380821704864502,3.0
1.4326369762420654,13.0
1.485072135925293,9.0
1.5379574298858643,8.0
1.5913410186767578,8.0
1.644071340560913,20.0
1.697373390197754,15.0
1.7504997253417969,6.0
1.803375005722046,8.0
1.8570599555969238,28.0
1.909757137298584,23.0
1.964477777481079,20.0
2.0163283348083496,11.0
2.069749116897583,8.0
2.121303081512451,7.0
2.174802541732788,2.0
2.2265889644622803,0.0
2.2816286087036133,-1.0
2.335146903991699,0.0
2.3891005516052246,0.0
2.4418606758117676,1.0
2.4965507984161377,5.0
2.5497190952301025,6.0
2.6030197143554688,5.0
2.6560277938842773,1.0
2.7085447311401367,5.0
2.760899543762207,5.0
2.8143069744110107,6.0
2.86734938621521,2.0
2.9200661182403564,1.0
2.973402261734009,2.0
3.0262601375579834,0.0
3.0799050331115723,2.0
3.133991241455078,0.0
3.1866867542266846,0.0
3.2395498752593994,0.0
3.2920339107513428,0.0
3.3466007709503174,0.0
3.4005448818206787,0.0
3.45307993888855,0.0
3.506002426147461,1.0
3.558518409729004,1.0
3.6110286712646484,2.0
3.6642909049987793,1.0
3.7175076007843018,2.0
3.770704984664917,6.0
3.824819564819336,6.0
3.8766958713531494,5.0
3.93053936958313,6.0
3.9840989112854004,14.0
4.036957740783691,13.0
4.090356111526489,11.0
4.143296003341675,7.0
4.198117971420288,7.0
4.252106666564941,5.0
4.3050572872161865,4.0
4.358291149139404,3.0
4.41105318069458,3.0
4.465041399002075,8.0
4.518749237060547,9.0
4.5715553760528564,8.0
4.624983072280884,11.0
4.677764892578125,7.0
4.730903625488281,5.0
4.783989667892456,6.0
4.836748838424683,9.0
4.890239953994751,7.0
4.941992282867432,6.0
4.994507789611816,4.0
5.047454118728638,10.0
5.1007373332977295,8.0
5.153076887130737,6.0
5.205994129180908,6.0
5.258557081222534,9.0
5.311010837554932,9.0
5.364089250564575,6.0
5.417318105697632,4.0
5.468621730804443,10.0
5.5204949378967285,10.0
5.57369589805603,7.0
5.626430988311768,4.0
5.680116653442383,3.0
5.733245849609375,7.0
5.786609888076782,6.0
5.83931827545166,4.0
5.892179250717163,4.0
5.94415545463562,3.0
5.9976184368133545,1.0
6.050577878952026,3.0
