Time (s),Current (A),Shaft Speed (rpm),Shaft Angle (deg),Position (deg)
4.76837158203125e-07,-0.26999998092651367,0.0,25968.759765625,25968.759765625
0.0031244754791259766,-0.26999998092651367,0.0,25968.759765625,25968.759765625
0.006636619567871094,-0.26999998092651367,0.0,25968.759765625,25968.759765625
0.010154008865356445,-0.26999998092651367,0.0,25968.759765625,25968.759765625
0.013602972030639648,-0.26999998092651367,0.0,25968.75,25971.600862317664
0.018108367919921875,0.3100000023841858,0.0,25968.75,25971.600862317664
0.02161407470703125,0.9399999976158142,0.0,25968.83984375,25971.600862317664
0.025187253952026367,1.7599999904632568,2.0,25968.69921875,25971.600862317664
0.028718233108520508,1.8199999332427979,6.0,25968.7890625,25971.600862317664
0.03213095664978027,1.3799999952316284,8.0,25968.8203125,25975.462150277675
0.036649465560913086,0.7699999809265137,10.0,25968.87890625,25975.462150277675
0.040183305740356445,1.6799999475479126,11.0,25968.919921875,25975.462150277675
0.04372072219848633,1.909999966621399,13.0,25968.96875,25975.462150277675
0.04712247848510742,1.9399999380111694,15.0,25969.029296875,25975.462150277675
0.05063033103942871,1.8199999332427979,18.0,25969.099609375,25979.297040194568
0.055127620697021484,1.350000023841858,20.0,25969.19921875,25979.297040194568
0.05859875679016113,2.8999998569488525,21.0,25969.2890625,25979.297040194568
0.06206703186035156,1.6200000047683716,25.0,25969.369140625,25979.297040194568
0.06550478935241699,1.459999918937683,27.0,25969.44921875,25979.297040194568
0.06898760795593262,1.399999976158142,29.0,25969.548828125,25983.07075913553
0.07352423667907715,1.3299999237060547,30.0,25969.69921875,25983.07075913553
0.0769956111907959,1.8799999952316284,32.0,25969.7890625,25983.07075913553
0.08041620254516602,1.1899999380111694,34.0,25969.919921875,25983.07075913553
0.08390426635742188,3.2100000381469727,34.0,25970.048828125,25983.07075913553
0.08734560012817383,1.899999976158142,38.0,25970.169921875,25986.8016762681
0.09181690216064453,3.0,41.0,25970.369140625,25986.8016762681
0.09524965286254883,2.2899999618530273,44.0,25970.51953125,25986.8016762681
0.09873509407043457,1.149999976158142,48.0,25970.689453125,25986.8016762681
0.10223627090454102,3.2100000381469727,48.0,25970.849609375,25986.8016762681
0.10575532913208008,1.399999976158142,52.0,25971.029296875,25990.48872177596
0.11019206047058105,0.7899999618530273,54.0,25971.279296875,25990.48872177596
0.1136164665222168,1.6399999856948853,54.0,25971.458984375,25990.48872177596
0.11703968048095703,1.5999999046325684,57.0,25971.650390625,25990.48872177596
0.12049484252929688,2.6499998569488525,57.0,25971.859375,25990.48872177596
0.12409853935241699,0.6699999570846558,62.0,25972.080078125,25994.09723327443
0.12872314453125,1.6100000143051147,64.0,25972.359375,25994.09723327443
0.1322011947631836,2.8999998569488525,64.0,25972.58984375,25994.09723327443
0.1358051300048828,2.259999990463257,66.0,25972.849609375,25994.09723327443
0.13936066627502441,1.25,70.0,25973.08984375,25994.09723327443
0.14299654960632324,3.109999895095825,70.0,25973.330078125,25997.735375476597
0.1474931240081787,3.509999990463257,72.0,25973.650390625,25997.735375476597
0.15099811553955078,1.8799999952316284,77.0,25973.9296875,25997.735375476597
0.154435396194458,1.5,80.0,25974.21875,25997.735375476597
0.15802597999572754,1.909999966621399,81.0,25974.509765625,25997.735375476597
0.16167330741882324,2.6399998664855957,82.0,25974.8203125,26001.240428633126
0.16619539260864258,1.659999966621399,87.0,25975.208984375,26001.240428633126
0.16980314254760742,3.0,88.0,25975.529296875,26001.240428633126
0.17338919639587402,2.75,90.0,25975.87890625,26001.240428633126
0.17697620391845703,2.6399998664855957,92.0,25976.208984375,26001.240428633126
0.1804804801940918,3.2300000190734863,93.0,25976.548828125,26004.66797906652
0.18489933013916016,2.9099998474121094,96.0,25977.029296875,26004.66797906652
0.18840360641479492,3.3499999046325684,97.0,25977.388671875,26004.66797906652
0.1919844150543213,2.549999952316284,101.0,25977.779296875,26004.66797906652
0.1954190731048584,3.109999895095825,102.0,25978.150390625,26004.66797906652
0.1988370418548584,3.2300000190734863,103.0,25978.529296875,26007.90441760326
0.2033214569091797,1.1699999570846558,108.0,25979.05859375,26007.90441760326
